dmaID,regionName,cityList
#500,Portland-Auburn,['portland-auburn']
#501,New York,"['new york', 'Norwalk, CT', 'New York', 'Danbury, CT', 'Newark, NJ', 'New Brunswick, NJ']"
#502,Binghamton,['binghamton']
#503,Macon,['macon']
#504,Philadelphia,"['philadelphia', 'Philadelphia']"
#505,Detroit,"['detroit', 'Detroit']"
#506,Boston (Manchester),"['boston (manchester)', 'Boston']"
#507,Savannah,['savannah']
#508,Pittsburgh,"['pittsburgh', 'Pittsburgh']"
#509,Ft. Wayne,['ft. wayne']
#510,Cleveland-Akron (Canton),"['cleveland-akron (canton)', 'Canton, OH', 'Cleveland']"
#511,"Washington, DC (Hagrstwn)","['washington dc (hagrstwn)', 'Alexandria, VA']"
#512,Baltimore,"['baltimore', 'Baltimore']"
#513,Flint-Saginaw-Bay City,['flint-saginaw-bay city']
#514,Buffalo,"['buffalo', 'Buffalo']"
#515,Cincinnati,"['cincinnati', 'Cincinnati']"
#516,Erie,['erie']
#517,Charlotte,"['charlotte', 'Charlotte']"
#518,Greensboro-H.Point-W.Salem,"['greensboro-h.point-w.salem', 'Winston Salem, NC']"
#519,"Charleston, SC","['charleston sc', 'Charleston, SC']"
#520,Augusta-Aiken,"['augusta-aiken', 'Aiken, SC']"
#521,Providence-New Bedford,"['providence-new bedford', 'Newport, RI', 'Providence, RI']"
#522,"Columbus, GA (Opelika, AL)",['columbus ga (opelika al)']
#523,Burlington-Plattsburgh,['burlington-plattsburgh']
#524,Atlanta,"['atlanta', 'Atlanta']"
#525,"Albany, GA",['albany ga']
#526,Utica,['utica']
#527,Indianapolis,"['indianapolis', 'Indianapolis']"
#528,Miami-Ft. Lauderdale,"['miami-ft. lauderdale', 'Miami', 'Miramar, FL', 'Fort Lauderdale']"
#529,Louisville,"['louisville', 'Frankfort, KY', 'Louisville, KY']"
#530,Tallahassee-Thomasville,"['tallahassee-thomasville', 'Valdosta, GA']"
#531,"Tri-Cities, TN-VA","['tri-cities tn-va', 'Johnson City, TN']"
#532,Albany-Schenectady-Troy,['albany-schenectady-troy']
#533,Hartford & New Haven,"['hartford & new haven', 'Hartford, CT']"
#534,Orlando-Daytona Bch-Melbrn,"['orlando-daytona bch-melbrn', 'Deltona, FL', 'Palm Bay, FL', 'Orlando']"
#535,"Columbus, OH","['columbus oh', 'Columbus']"
#536,Youngstown,['youngstown']
#537,Bangor,['bangor']
#538,"Rochester, NY","['rochester ny', 'Rochester, NY']"
#539,Tampa-St. Pete (Sarasota),"['tampa-st. pete (sarasota)', 'Bradenton, FL', 'Tampa']"
#540,Traverse City-Cadillac,['traverse city-cadillac']
#541,Lexington,"['lexington', 'Lexington, KY']"
#542,Dayton,"['dayton', 'Dayton, OH']"
#543,Springfield-Holyoke,['springfield-holyoke']
#544,Norfolk-Portsmth-Newpt Nws,"['norfolk-portsmth-newpt nws', 'Newport News, VA', 'Virginia Beach', 'Portsmouth']"
#545,Greenville-N.Bern-Washngtn,['greenville-n.bern-washngtn']
#546,"Columbia, SC","['columbia sc', 'Columbia, SC']"
#547,Toledo,['toledo']
#548,West Palm Beach-Ft. Pierce,['west palm beach-ft. pierce']
#549,Watertown,['watertown']
#550,Wilmington,['wilmington']
#551,Lansing,['lansing']
#552,Presque Isle,['presque isle']
#553,Marquette,['marquette']
#554,Wheeling-Steubenville,['wheeling-steubenville']
#555,Syracuse,['syracuse']
#556,Richmond-Petersburg,"['richmond-petersburg', 'Richmond']"
#557,Knoxville,"['knoxville', 'Knoxville, TN']"
#558,Lima,['lima']
#559,Bluefield-Beckley-Oak Hill,['bluefield-beckley-oak hill']
#560,Raleigh-Durham (Fayetvlle),"['raleigh-durham (fayetvlle)', 'Fayetteville, NC', 'Raleigh']"
#561,Jacksonville,"['jacksonville', 'Jacksonville']"
#563,Grand Rapids-Kalmzoo-B.Crk,"['grand rapids-kalmzoo-b.crk', 'Grand Rapids, MI']"
#564,Charleston-Huntington,['charleston-huntington']
#565,Elmira (Corning),['elmira (corning)']
#566,Harrisburg-Lncstr-Leb-York,['harrisburg-lncstr-leb-york']
#567,Greenvll-Spart-Ashevll-And,"['greenvll-spart-ashevll-and', 'Greenville, SC']"
#569,Harrisonburg,['harrisonburg']
#570,Myrtle Beach-Florence,['myrtle beach-florence']
